Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.lang3,,95%,,90%,"1,070","6,426",794,"22,458",556,"3,391",13,230
org.apache.commons.lang3.generated,,0%,,0%,169,169,814,814,45,45,8,8
org.apache.commons.lang3.reflect,,86%,,73%,393,"1,039",330,"2,929",219,624,23,59
org.apache.commons.lang3.builder,,95%,,75%,562,"2,108",344,"6,330",178,"1,240",7,138
org.apache.commons.lang3.text,,94%,,92%,204,"1,415",153,"5,417",126,860,0,55
org.apache.commons.lang3.time,,96%,,91%,185,"1,342",102,"4,743",107,852,1,76
org.apache.commons.lang3.math,,94%,,90%,178,730,35,"2,517",119,386,0,6
org.apache.commons.lang3.concurrent,,95%,,93%,56,557,20,"1,656",40,431,0,59
org.apache.commons.lang3.mutable,,97%,,97%,22,423,1,"1,374",21,402,0,16
org.apache.commons.lang3.text.translate,,98%,,90%,23,172,13,403,7,89,0,21
org.apache.commons.lang3.exception,,97%,,94%,21,253,21,905,15,180,1,18
org.apache.commons.lang3.event,,93%,,88%,14,96,11,286,11,83,0,18
org.apache.commons.lang3.reflect.testbed,,64%,,n/a,19,28,20,49,19,28,8,13
org.apache.commons.lang3.tuple,,98%,,73%,22,173,7,548,7,145,2,14
org.apache.commons.lang3.arch,,100%,,n/a,0,10,0,20,0,10,0,3
org.apache.commons.lang3.test,,100%,,n/a,0,3,0,5,0,3,0,2
Total,"17,169 of 289,345",94%,"1,752 of 12,209",85%,"2,938","14,944","2,665","50,454","1,470","8,769",63,736 
