Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
KeyedValues2DItemKey,0%,0,0%,0,13,13,26,38,38,8,8,1,1
KeyedObjects,71%,0.71,54%,0.54,18,38,56,27,95,4,16,0,1
KeyedObjects2DTest,84%,0.84,50%,0.5,2,14,16,36,199,0,12,0,1
KeyedValuesItemKey,0%,0,0%,0,8,8,16,21,21,5,5,1,1
ComparableObjectSeries,83%,0.83,81%,0.81,12,50,62,19,114,3,20,0,1
DataUtils,79%,0.79,75%,0.75,10,34,44,16,80,2,10,0,1
KeyedObjects2D,89%,0.89,82%,0.82,14,57,71,17,152,2,22,0,1
KeyedObjectsTest,90%,0.9,50%,0.5,8,19,27,22,173,0,11,0,1
DefaultKeyedValues2D,91%,0.91,82%,0.82,14,57,71,17,149,2,23,0,1
DefaultKeyedValue,53%,0.53,43%,0.43,8,16,24,6,25,2,8,0,1
DefaultKeyedValuesTest,95%,0.95,50%,0.5,2,21,23,20,254,0,19,0,1
Range,90%,0.9,88%,0.88,9,59,68,7,100,2,23,0,1
DefaultKeyedValues,91%,0.91,77%,0.77,11,44,55,11,118,2,22,0,1
DefaultKeyedValues2DTest,93%,0.93,50%,0.5,2,17,19,16,160,0,15,0,1
KeyToGroupMap,85%,0.85,78%,0.78,8,33,41,15,94,1,12,0,1
RangeTest,95%,0.95,n/a,n/a,0,14,14,15,174,0,14,0,1
KeyedValueComparator,79%,0.79,75%,0.75,9,18,27,9,45,2,4,0,1
ComparableObjectItemTest,93%,0.93,50%,0.5,4,10,14,3,38,0,6,0,1
KeyToGroupMapTest,96%,0.96,50%,0.5,2,11,13,4,98,0,9,0,1
DefaultKeyedValueTest,93%,0.93,50%,0.5,2,7,9,2,36,0,5,0,1
ComparableObjectItem,86%,0.86,75%,0.75,4,14,18,6,28,1,8,0,1
ComparableObjectSeriesTest,97%,0.97,50%,0.5,2,8,10,2,78,0,6,0,1
KeyedObjectTest,95%,0.95,50%,0.5,8,13,21,0,37,0,5,0,1
KeyedObject,94%,0.94,80%,0.8,2,11,13,2,23,0,6,0,1
DataUtilsTest,100%,1,n/a,n/a,0,8,8,0,114,0,8,0,1
RangeTypeTest,100%,1,n/a,n/a,0,4,4,0,25,0,4,0,1
DomainOrderTest,100%,1,n/a,n/a,0,4,4,0,25,0,4,0,1
RangeType,100%,1,n/a,n/a,0,1,1,0,4,0,1,0,1
DomainOrder,100%,1,n/a,n/a,0,1,1,0,4,0,1,0,1
KeyedValueComparatorType,100%,1,n/a,n/a,0,1,1,0,3,0,1,0,1
ComparableObjectSeriesTest.MyComparableObjectSeries,100%,1,n/a,n/a,0,4,4,0,7,0,4,0,1
UnknownKeyException,100%,1,n/a,n/a,0,1,1,0,2,0,1,0,1
