Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.collections4,87%,0.87,76%,0.76,490,"2,019","2,509","1,211","7,218",184,"1,282",4,147
org.apache.commons.collections4.map,91%,0.91,77%,0.77,548,"2,752","3,300",647,"7,632",117,"1,593",3,174
org.apache.commons.collections4.list,89%,0.89,79%,0.79,169,965,"1,134",504,"4,071",31,574,0,43
org.apache.commons.collections4.iterators,90%,0.9,85%,0.85,199,"1,236","1,435",548,"4,197",85,793,3,108
org.apache.commons.collections4.trie,81%,0.81,71%,0.71,159,540,699,218,"1,257",33,238,1,27
org.apache.commons.collections4.collection,86%,0.86,78%,0.78,116,525,641,218,"1,506",28,309,0,25
org.apache.commons.collections4.bidimap,91%,0.91,85%,0.85,106,786,892,167,"2,182",37,504,1,53
org.apache.commons.collections4.multimap,87%,0.87,76%,0.76,95,481,576,209,"1,341",54,354,0,35
org.apache.commons.collections4.functors,85%,0.85,85%,0.85,101,505,606,135,928,52,313,0,70
org.apache.commons.collections4.set,91%,0.91,81%,0.81,86,579,665,148,"1,422",34,420,0,43
org.apache.commons.collections4.multiset,86%,0.86,70%,0.7,75,330,405,130,894,32,210,0,25
org.apache.commons.collections4.comparators,87%,0.87,68%,0.68,79,271,350,82,631,10,145,0,21
org.apache.commons.collections4.bag,93%,0.93,84%,0.84,67,464,531,83,"1,175",23,307,0,35
org.apache.commons.collections4.queue,94%,0.94,87%,0.87,27,223,250,51,669,10,155,0,14
org.apache.commons.collections4.keyvalue,95%,0.95,67%,0.67,53,186,239,30,483,3,108,0,16
org.apache.commons.collections4.junit,48%,0.48,18%,0.18,10,19,29,15,37,2,11,0,4
org.apache.commons.collections4.sequence,94%,0.94,93%,0.93,11,101,112,19,243,5,43,1,10
org.apache.commons.collections4.splitmap,92%,0.92,75%,0.75,12,52,64,12,129,5,38,0,6
org.apache.commons.collections4.trie.analyzer,92%,0.92,70%,0.7,11,25,36,4,40,1,8,0,1
org.apache.commons.collections4.properties,100%,1,100%,1,0,7,7,0,16,0,4,0,2
