Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.configuration2,94%,0.94,88%,0.88,434,"3,577","4,011",874,"13,783",226,"2,619",0,182
org.apache.commons.configuration2.plist,71%,0.71,55%,0.55,321,721,"1,042",536,"1,935",58,270,1,24
org.apache.commons.configuration2.io,89%,0.89,76%,0.76,81,648,729,218,"2,251",23,471,1,51
org.apache.commons.configuration2.beanutils,92%,0.92,82%,0.82,71,469,540,113,"1,500",22,314,0,24
org.apache.commons.configuration2.tree,98%,0.98,95%,0.95,58,"1,293","1,351",107,"4,636",25,899,0,83
org.apache.commons.configuration2.builder.combined,97%,0.97,90%,0.9,43,612,655,78,"2,621",14,464,0,51
org.apache.commons.configuration2.convert,92%,0.92,89%,0.89,46,328,374,49,759,12,170,0,16
org.apache.commons.configuration2.builder,97%,0.97,97%,0.97,28,581,609,74,"2,411",23,473,2,57
org.apache.commons.configuration2.web,76%,0.76,68%,0.68,25,91,116,47,195,17,75,2,19
org.apache.commons.configuration2.interpol,94%,0.94,91%,0.91,25,229,254,47,768,19,184,2,23
org.apache.commons.configuration2.resolver,70%,0.7,54%,0.54,19,53,72,37,152,1,29,0,4
org.apache.commons.configuration2.tree.xpath,96%,0.96,95%,0.95,17,296,313,42,895,10,204,0,18
org.apache.commons.configuration2.event,96%,0.96,93%,0.93,18,253,271,36,835,12,209,0,31
org.apache.commons.configuration2.reloading,97%,0.97,100%,1,3,174,177,18,559,3,138,0,22
org.apache.commons.configuration2.spring,91%,0.91,86%,0.86,9,46,55,14,121,7,35,0,5
org.apache.commons.configuration2.sync,97%,0.97,90%,0.9,2,35,37,3,111,0,25,0,7
org.apache.commons.configuration2.ex,87%,0.87,n/a,n/a,2,13,15,4,26,2,13,0,3
org.apache.commons.configuration2.test,96%,0.96,83%,0.83,2,9,11,2,31,1,6,0,1
org.apache.commons.configuration2.builder.fluent,99%,0.99,87%,0.87,2,131,133,0,444,0,123,0,6
