Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
Total,91%,0.91,77%,0.77,548,"2,752","3,300",647,"7,632",117,"1,593",3,174
AbstractMapTest,92%,0.92,71%,0.71,82,230,312,64,748,2,79,0,1
LRUMap,59%,0.59,77%,0.77,13,45,58,17,104,5,25,0,1
MultiKeyMap,90%,0.9,63%,0.63,81,189,270,7,311,0,39,0,1
Flat3Map,89%,0.89,77%,0.77,61,184,245,30,358,0,23,0,1
SingletonMap,62%,0.62,42%,0.42,21,51,72,29,79,5,33,0,1
Flat3Map.FlatMapIterator,47%,0.47,57%,0.57,12,25,37,19,49,3,9,0,1
Flat3Map.FlatMapEntry,50%,0.5,38%,0.38,20,32,52,19,51,2,8,0,1
LazyMapTest,14%,0.14,n/a,n/a,2,7,9,21,27,2,7,0,1
ListOrderedMapTest,90%,0.9,100%,1,0,35,35,20,265,0,21,0,1
LRUMapTest,96%,0.96,79%,0.79,14,57,71,27,456,0,23,0,1
LinkedMapTest,88%,0.88,87%,0.87,2,23,25,13,130,0,15,0,1
ListOrderedMap2Test,76%,0.76,100%,1,0,17,17,12,74,0,11,0,1
LazySortedMapTest,62%,0.62,50%,0.5,2,10,12,16,44,1,9,0,1
PredicatedSortedMapTest,79%,0.79,50%,0.5,6,16,22,19,74,1,11,0,1
AbstractSortedMapDecorator,31%,0.31,0%,0,8,14,22,9,17,6,12,0,1
MultiKeyMapTest,98%,0.98,78%,0.78,10,58,68,8,283,0,24,0,1
ReferenceMapTest,86%,0.86,71%,0.71,5,20,25,14,83,1,13,0,1
AbstractHashedMap,96%,0.96,91%,0.91,15,120,135,15,284,4,52,0,1
StaticBucketMap,93%,0.93,85%,0.85,12,56,68,13,134,3,19,0,1
ReferenceIdentityMapTest,89%,0.89,66%,0.66,3,17,20,13,99,1,14,0,1
AbstractOrderedMapTest,85%,0.85,93%,0.93,1,18,19,11,80,0,10,0,1
PredicatedMapTest,80%,0.8,50%,0.5,4,12,16,12,49,0,8,0,1
Flat3Map.EntryIterator,55%,0.55,50%,0.5,3,7,10,8,17,1,4,0,1
AbstractReferenceMap.ReferenceEntry,85%,0.85,64%,0.64,13,32,45,5,45,0,11,0,1
AbstractIterableMapTest,82%,0.82,100%,1,0,13,13,12,62,0,7,0,1
FixedSizeMap,70%,0.7,33%,0.33,5,16,21,8,28,3,13,0,1
IdentityMap,50%,0.5,75%,0.75,7,13,20,13,19,6,11,0,1
UnmodifiableSortedMap,69%,0.69,100%,1,4,18,22,4,25,4,17,0,1
AbstractSortedMapDecorator.SortedMapIterator,0%,0,n/a,n/a,4,4,8,8,8,4,4,1,1
PassiveExpiringMapTest,94%,0.94,n/a,n/a,0,20,20,11,124,0,20,0,1
PassiveExpiringMap,90%,0.9,100%,1,4,36,40,8,75,4,27,0,1
SingletonMap.SingletonMapIterator,78%,0.78,64%,0.64,6,18,24,7,31,1,11,0,1
ReferenceIdentityMap,71%,0.71,100%,1,3,14,17,6,22,3,11,0,1
ReferenceMap,53%,0.53,n/a,n/a,3,7,10,6,16,3,7,0,1
AbstractSortedMapTest.TestSubMap,84%,0.84,100%,1,1,7,8,3,26,1,5,0,1
AbstractSortedMapTest.TestTailMap,82%,0.82,100%,1,1,7,8,3,23,1,5,0,1
AbstractSortedMapTest.TestHeadMap,79%,0.79,100%,1,1,7,8,3,22,1,5,0,1
ListOrderedMap,95%,0.95,90%,0.9,4,49,53,1,100,0,28,0,1
FixedSizeSortedMap,81%,0.81,50%,0.5,4,19,23,6,27,3,17,0,1
UnmodifiableMap,75%,0.75,50%,0.5,2,14,16,5,27,1,12,0,1
AbstractReferenceMap,95%,0.95,80%,0.8,10,55,65,5,114,0,30,0,1
TransformedSortedMapTest,95%,0.95,100%,1,1,11,12,5,73,1,9,0,1
CompositeMap,96%,0.96,94%,0.94,4,48,52,5,92,1,22,0,1
AbstractLinkedMap.LinkIterator,91%,0.91,77%,0.77,4,18,22,4,37,0,9,0,1
DefaultedMap,84%,0.84,70%,0.7,3,14,17,3,24,0,9,0,1
MultiValueMap.ReflectionFactory,67%,0.67,75%,0.75,1,5,6,2,10,0,3,0,1
MultiValueMap,96%,0.96,88%,0.88,6,44,50,2,88,1,22,0,1
ListOrderedMap.ListOrderedMapIterator,91%,0.91,100%,1,1,16,17,4,36,1,11,0,1
LRUMapTest.new ThreadGroup() {...},45%,0.45,n/a,n/a,1,2,3,3,4,1,2,0,1
LRUMapTest.new ThreadGroup() {...},45%,0.45,n/a,n/a,1,2,3,3,4,1,2,0,1
LRUMapTest.new ThreadGroup() {...},45%,0.45,n/a,n/a,1,2,3,3,4,1,2,0,1
LRUMapTest.new ThreadGroup() {...},45%,0.45,n/a,n/a,1,2,3,3,4,1,2,0,1
AbstractReferenceMap.SoftRef,0%,0,n/a,n/a,2,2,4,4,4,2,2,1,1
AbstractLinkedMap,97%,0.97,100%,1,3,43,46,4,76,3,23,0,1
LRUMapTest.SingleHashCode,44%,0.44,n/a,n/a,1,3,4,1,5,1,3,0,1
LazyMapTest.new Transformer() {...},0%,0,n/a,n/a,2,2,4,2,2,2,2,1,1
LinkedMap,89%,0.89,100%,1,2,14,16,4,25,2,12,0,1
AbstractMapTest.TestMapValues,90%,0.9,n/a,n/a,3,15,18,3,25,3,15,0,1
AbstractReferenceMap.ReferenceStrength,85%,0.85,25%,0.25,3,6,9,3,10,0,3,0,1
CompositeMapTest.new CompositeMap.MapMutator() {...},61%,0.61,n/a,n/a,2,4,6,2,5,2,4,0,1
CompositeMapTest.new CompositeMap.MapMutator() {...},60%,0.6,n/a,n/a,2,4,6,2,5,2,4,0,1
CompositeMapTest.new CompositeMap.MapMutator() {...},60%,0.6,n/a,n/a,2,4,6,2,5,2,4,0,1
MultiValueMapTest,99%,0.99,100%,1,0,41,41,3,296,0,36,0,1
CompositeMapTest,97%,0.97,n/a,n/a,0,14,14,3,75,0,14,0,1
AbstractHashedMap.HashIterator,96%,0.96,90%,0.9,2,16,18,2,38,0,6,0,1
Flat3Map.Values,85%,0.85,75%,0.75,1,7,8,1,12,0,5,0,1
PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,84%,0.84,75%,0.75,2,6,8,3,13,1,4,0,1
CaseInsensitiveMapTest,98%,0.98,62%,0.62,2,14,16,0,65,0,10,0,1
AbstractReferenceMap.ReferenceBaseIterator,97%,0.97,91%,0.91,2,19,21,1,49,0,7,0,1
CaseInsensitiveMap,92%,0.92,100%,1,1,10,11,2,21,1,8,0,1
UnmodifiableMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
UnmodifiableOrderedMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
UnmodifiableSortedMapTest,90%,0.9,n/a,n/a,0,9,9,2,19,0,9,0,1
LinkedMap.LinkedMapList,95%,0.95,n/a,n/a,1,19,20,1,21,1,19,0,1
AbstractMapTest.TestMapKeySet,94%,0.94,n/a,n/a,1,12,13,1,22,1,12,0,1
MultiValueMap.Values,90%,0.9,100%,1,1,5,6,2,9,1,4,0,1
AbstractOrderedMapDecorator,87%,0.87,n/a,n/a,1,8,9,1,10,1,8,0,1
LinkedMapTest.TestListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMapTest.TestValueListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMap2Test.TestListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
ListOrderedMapTest.TestKeyListView,87%,0.87,n/a,n/a,1,9,10,1,11,1,9,0,1
SingletonMap.SingletonValues,85%,0.85,n/a,n/a,1,6,7,1,8,1,6,0,1
