Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
TestDataConfiguration,90%,0.9,n/a,n/a,3,63,66,210,"1,168",3,63,0,1
PatternSubtreeConfigurationWrapper,16%,0.16,31%,0.31,65,71,136,73,90,57,63,0,1
DynamicCombinedConfiguration,54%,0.54,51%,0.51,68,111,179,83,207,50,85,0,1
TestBaseConfiguration,94%,0.94,100%,1,9,67,76,34,367,9,63,0,1
TestBaseNullConfiguration,90%,0.9,n/a,n/a,6,39,45,30,198,6,39,0,1
AbstractConfiguration,94%,0.94,86%,0.86,15,170,185,10,356,0,105,0,1
XMLPropertiesConfiguration,79%,0.79,58%,0.58,14,31,45,15,96,2,14,0,1
Logging,58%,0.58,50%,0.5,7,17,24,18,42,6,16,0,1
YAMLConfiguration,46%,0.46,n/a,n/a,3,8,11,23,39,3,8,0,1
TestAbstractHierarchicalConfiguration.AbstractHierarchicalConfigurationTestImpl,20%,0.2,n/a,n/a,10,12,22,10,13,10,12,0,1
TestCombinedConfiguration,97%,0.97,77%,0.77,7,77,84,15,473,3,68,0,1
TestINIConfiguration,97%,0.97,68%,0.68,4,86,90,11,498,0,78,0,1
TestAbstractConfigurationBasicFeatures,97%,0.97,100%,1,1,88,89,16,466,1,73,0,1
TestCompositeConfiguration,97%,0.97,80%,0.8,6,71,77,13,451,1,58,0,1
TestPropertiesConfiguration,98%,0.98,91%,0.91,5,104,109,12,574,2,86,0,1
TestHierarchicalConfiguration,95%,0.95,100%,1,6,54,60,14,252,6,45,0,1
TestConfigurationUtils,94%,0.94,100%,1,6,43,49,18,212,6,39,0,1
PropertiesConfiguration,93%,0.93,86%,0.86,12,70,82,9,156,1,30,0,1
ConfigurationUtils,91%,0.91,97%,0.97,4,41,45,11,106,3,24,0,1
DatabaseConfiguration,85%,0.85,100%,1,6,36,42,12,74,6,27,0,1
TestXMLConfiguration,99%,0.99,77%,0.77,5,116,121,13,826,0,105,0,1
XMLConfiguration,96%,0.96,99%,0.99,1,89,90,7,244,0,37,0,1
TestDynamicCombinedConfiguration,97%,0.97,84%,0.84,3,31,34,3,212,0,18,0,1
BaseHierarchicalConfiguration.InterpolatedVisitor,86%,0.86,71%,0.71,3,20,23,7,51,0,13,0,1
