Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.lang3,95%,0.95,90%,0.9,"1,070","6,426","7,496",794,"22,458",556,"3,391",13,230
org.apache.commons.lang3.generated,0%,0,0%,0,169,169,338,814,814,45,45,8,8
org.apache.commons.lang3.reflect,86%,0.86,73%,0.73,393,"1,039","1,432",330,"2,929",219,624,23,59
org.apache.commons.lang3.builder,95%,0.95,75%,0.75,562,"2,108","2,670",344,"6,330",178,"1,240",7,138
org.apache.commons.lang3.text,94%,0.94,92%,0.92,204,"1,415","1,619",153,"5,417",126,860,0,55
org.apache.commons.lang3.time,96%,0.96,91%,0.91,185,"1,342","1,527",102,"4,743",107,852,1,76
org.apache.commons.lang3.math,94%,0.94,90%,0.9,178,730,908,35,"2,517",119,386,0,6
org.apache.commons.lang3.concurrent,95%,0.95,93%,0.93,56,557,613,20,"1,656",40,431,0,59
org.apache.commons.lang3.mutable,97%,0.97,97%,0.97,22,423,445,1,"1,374",21,402,0,16
org.apache.commons.lang3.text.translate,98%,0.98,90%,0.9,23,172,195,13,403,7,89,0,21
org.apache.commons.lang3.exception,97%,0.97,94%,0.94,21,253,274,21,905,15,180,1,18
org.apache.commons.lang3.event,93%,0.93,88%,0.88,14,96,110,11,286,11,83,0,18
org.apache.commons.lang3.reflect.testbed,64%,0.64,n/a,n/a,19,28,47,20,49,19,28,8,13
org.apache.commons.lang3.tuple,98%,0.98,73%,0.73,22,173,195,7,548,7,145,2,14
org.apache.commons.lang3.arch,100%,1,n/a,n/a,0,10,10,0,20,0,10,0,3
org.apache.commons.lang3.test,100%,1,n/a,n/a,0,3,3,0,5,0,3,0,2
