Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
DateUtilsTest,93%,0.93,80%,0.8,58,132,190,6,964,56,127,0,1
DateUtilsFragmentTest,88%,0.88,n/a,n/a,20,79,99,10,257,20,79,0,1
FastDatePrinter,94%,0.94,90%,0.9,14,116,130,12,238,2,32,0,1
FastDateParserSDFTest,96%,0.96,68%,0.68,5,19,24,4,115,0,11,0,1
DateUtils,96%,0.96,92%,0.92,16,165,181,10,292,4,61,0,1
DurationFormatUtilsTest,99%,0.99,100%,1,7,42,49,0,347,7,36,0,1
DurationFormatUtils,97%,0.97,91%,0.91,10,78,88,10,217,0,13,0,1
StopWatchTest,94%,0.94,50%,0.5,12,25,37,13,147,0,13,0,1
GmtTimeZoneTest,85%,0.85,n/a,n/a,3,16,19,0,31,3,16,0,1
FastDateFormat,94%,0.94,100%,1,3,43,46,3,49,3,42,0,1
FormatCache,91%,0.91,88%,0.88,2,18,20,4,40,0,9,0,1
FastDateParserTest,99%,0.99,91%,0.91,6,77,83,3,365,2,54,0,1
FastDateParser.TimeZoneStrategy,92%,0.92,89%,0.89,2,12,14,1,40,0,2,0,1
DurationFormatUtils.Token,90%,0.9,93%,0.93,3,17,20,2,30,2,9,0,1
FastDateFormatTest.new Runnable() {...},85%,0.85,75%,0.75,1,4,5,4,16,0,2,0,1
DateFormatUtils,94%,0.94,n/a,n/a,1,18,19,1,44,1,18,0,1
FastDateParser,98%,0.98,93%,0.93,6,74,80,2,140,1,23,0,1
FastDateFormatTest,98%,0.98,75%,0.75,1,20,21,2,140,0,18,0,1
FastDatePrinter.TwentyFourHourField,82%,0.82,100%,1,1,5,6,2,11,1,4,0,1
FastDatePrinter.TwelveHourField,82%,0.82,100%,1,1,5,6,2,11,1,4,0,1
FastDatePrinter.DayInWeekField,81%,0.81,100%,1,1,5,6,2,9,1,4,0,1
FastDatePrinter.WeekYear,73%,0.73,n/a,n/a,1,4,5,2,8,1,4,0,1
FastDatePrinterTest,99%,0.99,100%,1,1,32,33,0,211,1,31,0,1
StopWatch,97%,0.97,96%,0.96,1,35,36,1,64,0,20,0,1
FastDatePrinter.TimeZoneDisplayKey,94%,0.94,66%,0.66,4,9,13,2,16,0,3,0,1
FastDatePrinter.PaddedNumberField,87%,0.87,50%,0.5,1,5,6,1,11,0,4,0,1
FastDatePrinter.UnpaddedMonthField,91%,0.91,50%,0.5,1,6,7,1,10,0,5,0,1
FastDateParser.Strategy,0%,0,n/a,n/a,1,1,2,1,1,1,1,1,1
FastDateParser_TimeZoneStrategyTest,98%,0.98,83%,0.83,1,6,7,1,15,0,3,0,1
DateUtilsRoundingTest,100%,1,n/a,n/a,0,27,27,0,289,0,27,0,1
DateFormatUtilsTest,100%,1,n/a,n/a,0,18,18,0,112,0,18,0,1
WeekYearTest,100%,1,n/a,n/a,0,4,4,0,31,0,4,0,1
FastDateParser_MoreOrLessTest,100%,1,n/a,n/a,0,9,9,0,56,0,9,0,1
FastDateParser.StrategyParser,100%,1,100%,1,0,16,16,0,31,0,4,0,1
GmtTimeZone,100%,1,100%,1,0,17,17,0,23,0,11,0,1
FastTimeZoneTest,100%,1,n/a,n/a,0,11,11,0,36,0,11,0,1
FastDatePrinter.Iso8601_Rule,100%,1,100%,1,0,12,12,0,29,0,5,0,1
FastDateParser.NumberStrategy,100%,1,92%,0.92,1,11,12,0,27,0,4,0,1
