Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
GaussianCurveFitter.ParameterGuesser.new Comparator() {...},42%,0.42,28%,0.28,7,9,16,10,17,0,2,0,1
GaussianCurveFitter.ParameterGuesser,93%,0.93,82%,0.82,6,25,31,5,60,0,8,0,1
SimpleCurveFitter,80%,0.8,100%,1,2,6,8,3,27,2,5,0,1
GaussianCurveFitterTest,99%,0.99,100%,1,1,17,18,5,93,1,15,0,1
PolynomialCurveFitterTest,96%,0.96,73%,0.73,8,29,37,2,80,0,8,0,1
HarmonicCurveFitterTest,97%,0.97,90%,0.9,3,18,21,4,90,1,8,0,1
WeightedObservedPointsTest,94%,0.94,50%,0.5,8,15,23,3,47,0,7,0,1
PolynomialCurveFitter,90%,0.9,75%,0.75,2,8,10,2,28,1,6,0,1
HarmonicCurveFitter,93%,0.93,100%,1,1,8,9,1,28,1,6,0,1
HarmonicCurveFitter.ParameterGuesser,99%,0.99,93%,0.93,2,20,22,1,96,0,5,0,1
GaussianCurveFitter,100%,1,100%,1,0,8,8,0,28,0,6,0,1
SimpleCurveFitterTest,100%,1,100%,1,0,3,3,0,17,0,2,0,1
AbstractCurveFitter.TheoreticalValuesFunction,100%,1,100%,1,0,4,4,0,11,0,3,0,1
WeightedObservedPoints,100%,1,n/a,n/a,0,6,6,0,11,0,6,0,1
GaussianCurveFitter.new Gaussian.Parametric() {...},100%,1,n/a,n/a,0,3,3,0,11,0,3,0,1
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},100%,1,100%,1,0,3,3,0,6,0,2,0,1
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},100%,1,100%,1,0,3,3,0,6,0,2,0,1
WeightedObservedPoint,100%,1,n/a,n/a,0,4,4,0,8,0,4,0,1
AbstractCurveFitter,100%,1,n/a,n/a,0,3,3,0,3,0,3,0,1
