Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed Cxty,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.jfree.chart.renderer.xy,53%,0.53,30%,0.3,"1,313","2,089","3,402","3,148","7,434",202,795,7,71
org.jfree.chart.plot,77%,0.77,55%,0.55,"1,791","3,854","5,645","3,151","13,879",441,"1,714",2,70
org.jfree.chart.axis,70%,0.7,44%,0.44,"1,247","2,251","3,498","2,246","7,771",230,920,3,76
org.jfree.chart.renderer.category,65%,0.65,37%,0.37,908,"1,491","2,399","1,716","5,204",104,555,1,48
org.jfree.chart,68%,0.68,37%,0.37,772,"1,361","2,133","1,766","4,972",261,715,8,64
org.jfree.data.time,82%,0.82,49%,0.49,508,"1,340","1,848","1,027","5,420",153,820,3,48
org.jfree.chart.util,49%,0.49,40%,0.4,403,638,"1,041",816,"1,787",98,234,5,34
org.jfree.chart.editor,0%,0,0%,0,214,214,428,835,835,105,105,10,10
org.jfree.data.xy,88%,0.88,63%,0.63,473,"1,337","1,810",684,"4,976",181,852,3,74
org.jfree.chart.ui,31%,0.31,33%,0.33,214,298,512,491,714,72,129,11,22
org.jfree.chart.annotations,74%,0.74,52%,0.52,243,536,779,577,"2,107",89,311,3,30
org.jfree.chart.title,65%,0.65,40%,0.4,289,527,816,500,"1,625",77,250,2,19
org.jfree.chart.plot.dial,73%,0.73,59%,0.59,258,550,808,552,"2,108",142,357,0,26
org.jfree.chart.renderer,78%,0.78,50%,0.5,321,676,997,528,"2,254",92,341,3,27
org.jfree.chart.labels,76%,0.76,46%,0.46,252,556,808,396,"1,842",65,319,1,46
org.jfree.data.general,83%,0.83,64%,0.64,282,694,976,446,"2,435",80,304,2,25
org.jfree.data.statistics,85%,0.85,61%,0.61,281,687,968,383,"2,462",65,336,0,27
org.jfree.chart.block,84%,0.84,60%,0.6,209,536,745,369,"2,195",61,267,0,28
org.jfree.chart.needle,48%,0.48,37%,0.37,114,200,314,268,574,31,108,0,20
org.jfree.data,89%,0.89,72%,0.72,172,610,782,331,"2,513",36,313,2,32
org.jfree.chart.entity,64%,0.64,32%,0.32,149,238,387,268,679,72,147,1,20
org.jfree.chart.panel,19%,0.19,5%,0.05,95,108,203,233,289,17,29,0,3
org.jfree.data.gantt,84%,0.84,56%,0.56,119,276,395,174,"1,040",53,172,0,10
org.jfree.data.jdbc,0%,0,0%,0,78,78,156,242,242,31,31,3,3
org.jfree.data.xml,0%,0,0%,0,75,75,150,213,213,47,47,8,8
org.jfree.chart.text,75%,0.75,53%,0.53,139,243,382,154,643,27,95,0,8
org.jfree.data.json.impl,0%,0,0%,0,78,78,156,185,185,19,19,3,3
org.jfree.chart.date,53%,0.53,29%,0.29,95,128,223,134,230,35,54,0,2
org.jfree.data.category,88%,0.88,63%,0.63,101,276,377,139,999,12,141,0,8
org.jfree.chart.urls,88%,0.88,63%,0.63,66,170,236,69,621,15,90,2,16
org.jfree.chart.encoders,0%,0,0%,0,34,34,68,90,90,31,31,4,4
org.jfree.data.time.ohlc,88%,0.88,62%,0.62,39,113,152,55,457,19,82,0,8
org.jfree.data.json,0%,0,0%,0,15,15,30,70,70,5,5,1,1
org.jfree.data.io,0%,0,0%,0,16,16,32,57,57,6,6,1,1
org.jfree.data.resources,16%,0.16,n/a,n/a,15,18,33,15,18,15,18,5,6
org.jfree.chart.imagemap,64%,0.64,64%,0.64,15,45,60,39,127,9,28,1,10
org.jfree.data.function,90%,0.9,58%,0.58,12,58,70,17,177,3,46,0,8
org.jfree.chart.resources,0%,0,n/a,n/a,3,3,6,3,3,3,3,1,1
org.jfree.chart.event,76%,0.76,n/a,n/a,12,30,42,16,63,12,30,0,10
