Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.collections4,,87%,,76%,490,"2,019","1,211","7,218",184,"1,282",4,147
org.apache.commons.collections4.map,,91%,,77%,548,"2,752",647,"7,632",117,"1,593",3,174
org.apache.commons.collections4.list,,89%,,79%,169,965,504,"4,071",31,574,0,43
org.apache.commons.collections4.iterators,,90%,,85%,199,"1,236",548,"4,197",85,793,3,108
org.apache.commons.collections4.trie,,81%,,71%,159,540,218,"1,257",33,238,1,27
org.apache.commons.collections4.collection,,86%,,78%,116,525,218,"1,506",28,309,0,25
org.apache.commons.collections4.bidimap,,91%,,85%,106,786,167,"2,182",37,504,1,53
org.apache.commons.collections4.multimap,,87%,,76%,95,481,209,"1,341",54,354,0,35
org.apache.commons.collections4.functors,,85%,,85%,101,505,135,928,52,313,0,70
org.apache.commons.collections4.set,,91%,,81%,86,579,148,"1,422",34,420,0,43
org.apache.commons.collections4.multiset,,86%,,70%,75,330,130,894,32,210,0,25
org.apache.commons.collections4.comparators,,87%,,68%,79,271,82,631,10,145,0,21
org.apache.commons.collections4.bag,,93%,,84%,67,464,83,"1,175",23,307,0,35
org.apache.commons.collections4.queue,,94%,,87%,27,223,51,669,10,155,0,14
org.apache.commons.collections4.keyvalue,,95%,,67%,53,186,30,483,3,108,0,16
org.apache.commons.collections4.junit,,48%,,18%,10,19,15,37,2,11,0,4
org.apache.commons.collections4.sequence,,94%,,93%,11,101,19,243,5,43,1,10
org.apache.commons.collections4.splitmap,,92%,,75%,12,52,12,129,5,38,0,6
org.apache.commons.collections4.trie.analyzer,,92%,,70%,11,25,4,40,1,8,0,1
org.apache.commons.collections4.properties,,100%,,100%,0,7,0,16,0,4,0,2
Total,"16,222 of 154,540",89%,"1,952 of 9,238",78%,"2,414","12,066","4,431","36,071",746,"7,409",13,859
