Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.configuration2,,94%,,88%,434,"3,577",874,"13,783",226,"2,619",0,182
org.apache.commons.configuration2.plist,,71%,,55%,321,721,536,"1,935",58,270,1,24
org.apache.commons.configuration2.io,,89%,,76%,81,648,218,"2,251",23,471,1,51
org.apache.commons.configuration2.beanutils,,92%,,82%,71,469,113,"1,500",22,314,0,24
org.apache.commons.configuration2.tree,,98%,,95%,58,"1,293",107,"4,636",25,899,0,83
org.apache.commons.configuration2.builder.combined,,97%,,90%,43,612,78,"2,621",14,464,0,51
org.apache.commons.configuration2.convert,,92%,,89%,46,328,49,759,12,170,0,16
org.apache.commons.configuration2.builder,,97%,,97%,28,581,74,"2,411",23,473,2,57
org.apache.commons.configuration2.web,,76%,,68%,25,91,47,195,17,75,2,19
org.apache.commons.configuration2.interpol,,94%,,91%,25,229,47,768,19,184,2,23
org.apache.commons.configuration2.resolver,,70%,,54%,19,53,37,152,1,29,0,4
org.apache.commons.configuration2.tree.xpath,,96%,,95%,17,296,42,895,10,204,0,18
org.apache.commons.configuration2.event,,96%,,93%,18,253,36,835,12,209,0,31
org.apache.commons.configuration2.reloading,,97%,,100%,3,174,18,559,3,138,0,22
org.apache.commons.configuration2.spring,,91%,,86%,9,46,14,121,7,35,0,5
org.apache.commons.configuration2.sync,,97%,,90%,2,35,3,111,0,25,0,7
org.apache.commons.configuration2.ex,,87%,,n/a,2,13,4,26,2,13,0,3
org.apache.commons.configuration2.test,,96%,,83%,2,9,2,31,1,6,0,1
org.apache.commons.configuration2.builder.fluent,,99%,,87%,2,131,0,444,0,123,0,6
Total,"9,293 of 142,413",93%,"897 of 5,610",84%,"1,206","9,559","2,299","34,033",475,"6,721",8,627
