Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.math4.linear,,92%,,86%,752,"4,706","2,364","16,929",260,"2,312",2,202
org.apache.commons.math4.util,,93%,,86%,338,"2,174",860,"7,028",80,878,2,68
org.apache.commons.math4.ode.nonstiff,,90%,,80%,454,"1,993",835,"7,411",135,"1,053",15,186
org.apache.commons.math4.distribution,,71%,,73%,172,558,342,"1,550",74,302,5,43
org.apache.commons.math4.analysis.interpolation,,93%,,85%,125,687,380,"2,651",26,298,0,84
org.apache.commons.math4.geometry.euclidean.threed,,95%,,81%,301,"1,557",392,"6,284",46,719,6,50
org.apache.commons.math4.complex,,72%,,47%,162,403,324,"1,345",42,186,0,6
org.apache.commons.math4.stat.regression,,91%,,72%,201,597,347,"2,336",18,214,0,13
org.apache.commons.math4.optim.nonlinear.scalar.noderiv,,90%,,82%,212,953,269,"2,995",14,305,1,65
org.apache.commons.math4.stat.inference,,90%,,80%,115,552,402,"2,210",20,268,0,20
org.apache.commons.math4,,68%,,73%,66,253,227,624,15,106,2,7
org.apache.commons.math4.dfp,,94%,,85%,204,882,195,"3,013",37,257,0,9
org.apache.commons.math4.fitting.leastsquares,,95%,,91%,91,724,191,"2,429",49,454,3,94
org.apache.commons.math4.analysis.solvers,,90%,,78%,145,541,202,"1,696",40,270,0,56
org.apache.commons.math4.ml.neuralnet.twod.util,,18%,,7%,44,53,156,192,12,19,5,8
org.apache.commons.math4.geometry.partitioning,,87%,,77%,98,418,115,"1,106",31,203,9,39
org.apache.commons.math4.genetics,,91%,,85%,99,453,160,"1,159",60,298,3,81
org.apache.commons.math4.stat.descriptive,,94%,,75%,137,607,158,"2,111",50,406,0,33
org.apache.commons.math4.random,,88%,,86%,52,279,152,831,17,138,0,23
org.apache.commons.math4.ode,,95%,,87%,116,720,115,"2,255",42,420,3,64
org.apache.commons.math4.analysis.function,,92%,,98%,14,365,86,"1,134",12,284,0,65
org.apache.commons.math4.fraction,,92%,,83%,47,297,129,"1,317",9,170,0,11
org.apache.commons.math4.geometry,,37%,,32%,45,62,113,170,26,36,4,6
org.apache.commons.math4.analysis.polynomials,,92%,,83%,42,258,90,931,9,134,0,23
org.apache.commons.math4.transform,,92%,,92%,23,255,75,912,3,100,0,14
org.apache.commons.math4.stat.descriptive.rank,,96%,,93%,31,412,113,"1,459",9,244,0,24
org.apache.commons.math4.ode.sampling,,90%,,67%,70,253,92,746,20,152,3,23
org.apache.commons.math4.ml.neuralnet,,82%,,63%,41,144,87,461,8,77,0,16
org.apache.commons.math4.geometry.euclidean.twod,,97%,,81%,85,551,82,"1,963",10,319,0,29
org.apache.commons.math4.ml.clustering,,91%,,75%,54,201,106,608,19,90,0,15
org.apache.commons.math4.optim.linear,,98%,,84%,51,283,58,"1,058",10,136,0,14
org.apache.commons.math4.stat.descriptive.moment,,91%,,79%,62,300,98,898,27,212,0,28
org.apache.commons.math4.analysis.differentiation,,98%,,98%,31,"1,072",56,"3,445",13,447,0,29
org.apache.commons.math4.optim.univariate,,90%,,77%,60,210,40,587,6,87,0,21
org.apache.commons.math4.stat.ranking,,87%,,77%,13,74,44,316,4,35,0,5
org.apache.commons.math4.ode.events,,92%,,83%,50,284,51,670,16,144,1,37
org.apache.commons.math4.analysis.integration,,91%,,64%,72,172,61,616,4,74,0,13
org.apache.commons.math4.stat.correlation,,97%,,88%,27,219,49,731,7,123,0,12
org.apache.commons.math4.ml.neuralnet.sofm,,87%,,82%,32,114,57,349,22,76,0,15
org.apache.commons.math4.stat,,93%,,82%,17,143,81,785,4,91,0,6
org.apache.commons.math4.geometry.spherical.oned,,95%,,90%,25,241,39,837,6,126,0,16
org.apache.commons.math4.analysis,,93%,,90%,12,135,30,354,9,102,0,29
org.apache.commons.math4.ml.neuralnet.twod,,96%,,96%,11,171,37,534,3,37,0,5
org.apache.commons.math4.filter,,92%,,75%,21,69,30,272,6,38,0,5
org.apache.commons.math4.fitting,,97%,,78%,40,192,36,663,6,101,0,19
org.apache.commons.math4.optim,,91%,,79%,33,154,26,331,9,88,0,25
org.apache.commons.math4.geometry.spherical.twod,,98%,,88%,46,338,23,"1,031",4,139,0,15
org.apache.commons.math4.exception,,87%,,85%,19,104,30,227,17,97,1,36
org.apache.commons.math4.optim.nonlinear.scalar,,96%,,75%,28,135,10,398,0,75,0,22
org.apache.commons.math4.stat.interval,,88%,,81%,10,63,13,179,6,52,0,12
org.apache.commons.math4.special,,99%,,85%,24,80,18,276,6,13,0,3
org.apache.commons.math4.distribution.fitting,,96%,,89%,8,54,23,220,3,22,0,3
org.apache.commons.math4.ml.neuralnet.sofm.util,,80%,,100%,7,22,14,63,7,15,0,4
org.apache.commons.math4.geometry.euclidean.oned,,99%,,93%,16,316,12,"1,251",5,233,0,20
org.apache.commons.math4.geometry.euclidean.twod.hull,,99%,,86%,23,132,10,378,2,52,0,8
org.apache.commons.math4.ml.neuralnet.oned,,95%,,90%,6,37,5,121,2,15,0,3
org.apache.commons.math4.exception.util,,99%,,96%,7,73,12,556,5,44,1,8
